package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[0].u_pad
P2,south,2,mgmt_clk,input,sg13g2_IOPadIn,mgmt_clk_i,u_mgmt_clk_pad
P3,south,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[0],u_gpio_pads[0].u_pad
P4,south,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[1],u_gpio_pads[1].u_pad
P5,south,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[0].u_pad
P6,south,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[2],u_gpio_pads[2].u_pad
P7,south,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[3],u_gpio_pads[3].u_pad
P8,south,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[4],u_gpio_pads[4].u_pad
P9,south,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[0].u_pad
P10,south,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[5],u_gpio_pads[5].u_pad
P11,south,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[6],u_gpio_pads[6].u_pad
P12,south,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[7],u_gpio_pads[7].u_pad
P13,south,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[0].u_pad
P14,south,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[8],u_gpio_pads[8].u_pad
P15,south,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[9],u_gpio_pads[9].u_pad
P16,south,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[10],u_gpio_pads[10].u_pad
P17,south,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[1].u_pad
P18,south,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[11],u_gpio_pads[11].u_pad
P19,south,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[12],u_gpio_pads[12].u_pad
P20,south,20,mgmt_rst_n,input,sg13g2_IOPadIn,mgmt_rst_n_i,u_mgmt_rst_n_pad
P21,south,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[1].u_pad
P22,south,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[13],u_gpio_pads[13].u_pad
P23,east,1,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[1].u_pad
P24,east,2,jtag_tck,input,sg13g2_IOPadIn,jtag_tck_i,u_jtag_tck_pad
P25,east,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[14],u_gpio_pads[14].u_pad
P26,east,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[15],u_gpio_pads[15].u_pad
P27,east,5,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[1].u_pad
P28,east,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[16],u_gpio_pads[16].u_pad
P29,east,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[17],u_gpio_pads[17].u_pad
P30,east,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[18],u_gpio_pads[18].u_pad
P31,east,9,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[2].u_pad
P32,east,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[19],u_gpio_pads[19].u_pad
P33,east,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[20],u_gpio_pads[20].u_pad
P34,east,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[21],u_gpio_pads[21].u_pad
P35,east,13,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[2].u_pad
P36,east,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[22],u_gpio_pads[22].u_pad
P37,east,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[23],u_gpio_pads[23].u_pad
